wellName,datasetName,ID,PC_PSI,Permeability,Porosity,ReferenceName,Rock,Sw,WellName
,,unitless,psi,mD,v/v,m,,v/v,unitless
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,1,-9999,1245.824,0.238388,4,PoorK,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,0.1450377,99.94638,0.238191,75,RT_test,0.9999985,Centrifuge
Multiple wells_COMBINED,FINAL,2,0.2619072,99.94638,0.238191,75,RT_test,0.9994412,Centrifuge
Multiple wells_COMBINED,FINAL,2,0.4729488,99.94638,0.238191,75,RT_test,0.9822444,Centrifuge
Multiple wells_COMBINED,FINAL,2,0.8540452,99.94638,0.238191,75,RT_test,0.834348,Centrifuge
Multiple wells_COMBINED,FINAL,2,1.542224,99.94638,0.238191,75,RT_test,0.5161732,Centrifuge
Multiple wells_COMBINED,FINAL,2,2.784929,99.94638,0.238191,75,RT_test,0.2894704,Centrifuge
Multiple wells_COMBINED,FINAL,2,5.028991,99.94638,0.238191,75,RT_test,0.1729007,Centrifuge
Multiple wells_COMBINED,FINAL,2,9.081289,99.94638,0.238191,75,RT_test,0.1187704,Centrifuge
Multiple wells_COMBINED,FINAL,2,16.39888,99.94638,0.238191,75,RT_test,0.09760392,Centrifuge
Multiple wells_COMBINED,FINAL,2,29.61289,99.94638,0.238191,75,RT_test,0.09234565,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
Multiple wells_COMBINED,FINAL,2,-9999,99.94638,0.238191,75,RT_test,-9999,Centrifuge
